location_id,location_name,latitude,longitude
1,Marysville,48.0517637,-122.1770818
2,Perris,33.7825194,-117.2286478
3,Cleveland,41.49932,-81.6943605
4,Worcester,42.262593200000005,-71.8022934
5,Columbia,34.0007104,-81.0348144
6,Waterbury,41.558152500000006,-73.0514965
7,Eagan,44.804132200000005,-93.1668858
8,Southfield,42.4733688,-83.2218731
9,Lafayette,30.2240897,-92.0198427
10,Boise City,43.6187102,-116.2146068
11,Elkhart,41.6819935,-85.9766671
12,Buena Park,33.8675143,-117.9981181
13,Marietta,33.952602,-84.5499327
14,Parker,39.5186002,-104.7613633
15,West Palm Beach,26.7153424,-80.0533746
16,Salem,42.51954,-70.8967155
17,Aurora,41.7605849,-88.3200715
18,Leesburg,39.1156615,-77.5636015
19,Doral,25.8195424,-80.3553302
20,Westminster,33.7513419,-117.9939921
21,Lubbock,33.5778631,-101.8551665
22,Overland Park,38.9822282,-94.6707917
23,Jackson,32.298757300000005,-90.1848103
24,Gastonia,35.262082,-81.1873005
25,Daytona Beach,29.2108147,-81.02283309999999
26,Kansas City,39.0997265,-94.5785667
27,Rancho Palos Verdes,33.7444613,-118.3870173
28,Burnsville,44.7677424,-93.2777226
29,Rowlett,32.9029017,-96.56388
30,Roswell,33.3942655,-104.5230242
31,Montgomery,32.366805199999995,-86.2999689
32,Logan,41.7369803,-111.8338359
33,Woburn,42.4792618,-71.1522765
34,Allentown,40.6084305,-75.4901833
35,Mount Pleasant,32.8323225,-79.82842579999999
36,Columbus,32.4609764,-84.9877094
37,Buffalo,42.8864468,-78.8783689
38,New Berlin,42.9764027,-88.10842240000001
39,North Richland Hills,32.8342952,-97.2289029
40,Lima,40.742551,-84.1052256
41,Sacramento,38.5815719,-121.4943996
42,Fort Smith,35.385924200000005,-94.3985475
43,East Providence,41.813711600000005,-71.37005450000001
44,Urbandale,41.6266555,-93.7121656
45,Mount Vernon,40.9125992,-73.8370786
46,Lakewood,39.7047095,-105.08137340000002
47,Henderson,36.0395247,-114.9817213
48,Covina,34.0900091,-117.8903397
49,Stamford,41.0534302,-73.53873409999999
50,Bloomington,39.165325,-86.5263857
51,Kingsport,36.548434,-82.5618186
52,Spokane,47.6587802,-117.4260466
53,Kennewick,46.2112458,-119.1372338
54,Philadelphia,39.9525839,-75.1652215
55,Bellingham,48.74908,-122.4781473
56,Visalia,36.3302284,-119.2920585
57,La Crosse,43.8013556,-91.2395807
58,Council Bluffs,41.2619444,-95.8608333
59,North Lauderdale,26.217305,-80.2258811
60,Dallas,32.7766642,-96.7969879
61,Antioch,38.0049214,-121.805789
62,Sterling Heights,42.5803122,-83.0302033
63,Deerfield Beach,26.3184123,-80.0997657
64,Fishers,39.95675479999999,-86.01335
65,Cheyenne,41.1399814,-104.8202462
66,Murrieta,33.553914299999995,-117.2139232
67,Lenexa,38.9536174,-94.7335709
68,Noblesville,40.0455917,-86.0085955
69,Southaven,34.9889818,-90.0125913
70,Chino,34.0122346,-117.688944
71,Gaithersburg,39.143440600000005,-77.2013705
72,Fountain Valley,33.7091847,-117.9536697
73,Frederick,39.4142688,-77.41054090000002
74,Greenville,35.612661,-77.3663538
75,DeKalb,41.9294736,-88.7503647
76,West Allis,43.0166806,-88.0070315
77,Thornton,39.8680412,-104.9719243
78,West Des Moines,41.5772115,-93.711332
79,Fall River,41.7014912,-71.1550451
80,Tulare,36.20772879999999,-119.3473379
81,Chula Vista,32.6400541,-117.0841955
82,Coral Springs,26.271192,-80.27060440000001
83,Concord,35.4087517,-80.579511
84,Smyrna,33.883992600000006,-84.51437609999999
85,Apopka,28.6934076,-81.53221490000001
86,Grand Forks,47.9252568,-97.0328547
87,Lancaster,39.71367539999999,-82.59932940000002
88,Naperville,41.7508391,-88.15353520000001
89,Hollywood,26.0112014,-80.1494901
90,Rogers,36.3320196,-94.1185366
91,New Orleans,29.9510658,-90.0715323
92,Lakewood,47.1717649,-122.518458
93,Oak Lawn,41.719978000000005,-87.7479528
94,Caldwell,43.6629384,-116.6873596
95,Portland,45.523062200000005,-122.6764816
96,Concord,37.9779776,-122.0310733
97,Burien,47.4703767,-122.3467918
98,St. Charles,38.7881062,-90.4974359
99,Waukesha,43.0116784,-88.2314813
100,Flagstaff,35.1982836,-111.651302
101,Puyallup,47.1853785,-122.29289740000002
102,Schenectady,42.8142432,-73.93956870000001
103,Denver,39.7392358,-104.990251
104,Springfield,39.7817213,-89.6501481
105,Campbell,37.2871651,-121.9499568
106,Moreno Valley,33.9424658,-117.2296717
107,Kettering,39.6895036,-84.16882740000001
108,Lincoln Park,42.2505943,-83.17853609999999
109,Lake Havasu City,34.483901,-114.3224548
110,North Little Rock,34.769535999999995,-92.2670941
111,Reno,39.5296329,-119.8138027
112,Littleton,39.613321,-105.0166498
113,Prescott,34.540024200000005,-112.4685025
114,Dublin,37.7021521,-121.9357918
115,Texarkana,33.425125,-94.0476882
116,Portland,43.661471,-70.2553259
117,Brooklyn Park,45.0941315,-93.3563405
118,West Haven,41.2705484,-72.94697109999998
119,El Centro,32.792,-115.5630514
120,The Colony,33.0806083,-96.8928309
121,Flint,43.0125274,-83.6874562
122,Pittsburg,38.027976200000005,-121.88468059999998
123,Buckeye,33.3703197,-112.58377659999998
124,Brea,33.9166805,-117.9000604
125,Indio,33.7205771,-116.2155619
126,Scottsdale,33.494170399999994,-111.9260519
127,Columbus,39.9611755,-82.9987942
128,Lancaster,40.0378755,-76.3055144
129,Lincoln,40.8257625,-96.6851982
130,Trenton,40.2170534,-74.74293840000001
131,Boston,42.3600825,-71.0588801
132,Glendora,34.136118700000004,-117.865339
133,Rochester,44.0121221,-92.4801989
134,Florissant,38.789217,-90.322614
135,Annapolis,38.9784453,-76.4921829
136,Chapel Hill,35.913199600000006,-79.05584449999999
137,Lawrence,39.8386516,-86.0252612
138,Calexico,32.6789476,-115.4988834
139,Calumet City,41.6155909,-87.5294871
140,Missoula,46.8787176,-113.996586
141,Clovis,36.8252277,-119.7029194
142,Pearland,29.5635666,-95.2860474
143,Gilbert,33.3528264,-111.789027
144,Wausau,44.9591352,-89.6301221
145,Raleigh,35.7795897,-78.6381787
146,Orange,33.7877944,-117.8531119
147,Walnut Creek,37.9100783,-122.0651819
148,Bremerton,47.567320200000005,-122.6329356
149,Porterville,36.06523,-119.0167679
150,Marana,32.436381,-111.2224422
151,Tallahassee,30.4382559,-84.2807329
152,Conroe,30.3118769,-95.4560512
153,Blacksburg,37.2295733,-80.4139393
154,San Antonio,29.4241219,-98.4936282
155,Hartford,41.7637111,-72.6850932
156,Waterloo,42.492786,-92.3425775
157,Binghamton,42.0986867,-75.9179738
158,Meridian,43.61210870000001,-116.3915131
159,Fond du Lac,43.7730448,-88.44705079999999
160,Baytown,29.735504700000003,-94.9774274
161,Cary,35.791540000000005,-78.78111690000001
162,Weymouth Town,42.2180724,-70.94103559999999
163,Tulsa,36.1539816,-95.992775
164,Mission,26.2159066,-98.3252932
165,Cuyahoga Falls,41.1339449,-81.48455849999999
166,Malden,42.4250964,-71.066163
167,Allen,33.1031744,-96.6705503
168,Tucson,32.2217429,-110.926479
169,Franklin,35.9250637,-86.86888990000001
170,Shakopee,44.79739620000001,-93.5272861
171,Jacksonville,30.3321838,-81.655651
172,Atlantic City,39.3642834,-74.4229266
173,Erie,42.1292241,-80.085059
174,Merced,37.3021632,-120.48296770000002
175,Abilene,32.4487364,-99.7331439
176,Yorba Linda,33.888625899999994,-117.8131125
177,Greenville,34.8526176,-82.3940104
178,Huntersville,35.410694,-80.8428504
179,St. Clair Shores,42.4974085,-82.8963604
180,Harrisburg,40.273191100000005,-76.88670079999999
181,San Buenaventura (Ventura),34.274646000000004,-119.22903159999998
182,Fremont,37.548269700000006,-121.9885719
183,Pueblo,38.2544472,-104.6091409
184,Chelsea,42.3917638,-71.03282840000001
185,Belleville,38.5200504,-89.98399350000001
186,Minneapolis,44.977753,-93.2650108
187,Bartlett,35.2045328,-89.8739753
188,Wichita Falls,33.913708500000006,-98.4933873
189,Missouri City,29.6185669,-95.5377215
190,St. Louis,38.6270025,-90.1994042
191,Pharr,26.1947962,-98.1836216
192,Albuquerque,35.0853336,-106.6055534
193,Athens-Clarke County,33.9519347,-83.357567
194,South Jordan,40.5621704,-111.929658
195,North Las Vegas,36.1988592,-115.1175013
196,Pomona,34.055103,-117.7499909
197,Eastvale,33.952463,-117.5848025
198,Grove City,39.8814519,-83.09296440000001
199,Lawrence,38.9716689,-95.2352501
200,Midland,31.9973456,-102.0779146
201,Oklahoma City,35.4675602,-97.5164276
202,Oro Valley,32.3909071,-110.96648799999998
203,Mesa,33.4151843,-111.8314724
204,Norwalk,41.117744,-73.4081575
205,Kentwood,42.8694731,-85.6447492
206,Brookfield,43.0605671,-88.1064787
207,Rockwall,32.9312336,-96.4597089
208,Mishawaka,41.6619927,-86.15861559999999
209,Tustin,33.7458511,-117.826166
210,St. Cloud,45.5579451,-94.1632404
211,Passaic,40.8567662,-74.12847640000001
212,Escondido,33.1192068,-117.086421
213,San Bruno,37.6304904,-122.4110835
214,Berkeley,37.87159260000001,-122.272747
215,San Clemente,33.4269728,-117.6119925
216,Lawton,34.6035669,-98.3959291
217,Eau Claire,44.811349,-91.4984941
218,Maricopa,33.058106300000006,-112.0476423
219,DeSoto,32.589699800000005,-96.8570738
220,Fort Wayne,41.079273,-85.13935129999999
221,Shoreline,47.7556531,-122.3415178
222,Medford,42.4184296,-71.10616390000001
223,La Habra,33.9319578,-117.94617340000002
224,Albany,42.65257929999999,-73.7562317
225,Daly City,37.6879241,-122.47020790000002
226,Taylor,42.240872,-83.2696509
227,Lynchburg,37.4137536,-79.1422464
228,Bowie,39.0067768,-76.77913649999999
229,Danbury,41.394817,-73.45401109999999
230,Charlottesville,38.0293059,-78.4766781
231,Coral Gables,25.72149,-80.2683838
